rank,symbol,name,style,expiration,dte,underlying_mark,entry_type,entry,probability_profit,expected_value_dollars,max_loss_dollars,max_profit_dollars,reward_to_risk,breakeven,required_move_pct,score,liquidity_score,implied_volatility
"1","TLT","TLT 7/29 80.5/84 Call Credit Spread","call_credit","2026-07-29","13","84.09","Credit","3.05","0.4129","95.3","45","305","6.78","83.55","-0.64","93.61","0.8594","0.18"
"2","IWM","IWM 7/29 292/295 Call Credit Spread","call_credit","2026-07-29","13","295.32","Credit","1.92","0.4318","17.74","108","192","1.78","293.92","-0.47","83.26","0.8526","0.18"
