rank,symbol,name,style,expiration,dte,underlying_mark,entry_type,entry,probability_profit,expected_value_dollars,max_loss_dollars,max_profit_dollars,reward_to_risk,breakeven,required_move_pct,score,liquidity_score,implied_volatility
"1","SPY","SPY 9/23 755/750 Put Debit Spread","put_debit","2026-09-23","13","758.34","Debit","1.62","0.4125","37.81","162","338","2.09","753.38","-0.65","91.93","0.8871","0.18"
"2","IWM","IWM 9/23 284/280 Put Debit Spread","put_debit","2026-09-23","13","287.75","Debit","1.12","0.3456","21.03","112","288","2.57","282.88","-1.69","86.88","0.8197","0.2344"
