rank,symbol,name,style,expiration,dte,underlying_mark,entry_type,entry,probability_profit,expected_value_dollars,max_loss_dollars,max_profit_dollars,reward_to_risk,breakeven,required_move_pct,score,liquidity_score,implied_volatility
"1","SPY","SPY 10/1 760/755 Put Debit Spread","put_debit","2026-10-01","13","759.8301","Debit","1.73","0.4636","52.69","173","327","1.89","758.27","-0.21","96.04","0.8934","0.18"
"2","TLT","TLT 10/2 80/80.5 Call Credit Spread","call_credit","2026-10-02","14","81.1801","Credit","0.35","0.373","3.03","15","35","2.33","80.35","-1.02","87.97","0.8216","0.18"
